OID_,TAZID,CO_TAZID,DEVACRES,HH,JOB,AUTO_JB,AUTO_HH,TRAN_JB,TRAN_HH,COMP_AUTO,COMP_TRAN,AUTO_JB_WT,AUTO_HH_WT,TRAN_JB_WT,TRAN_HH_WT
,2554,492554,373.730000000000018,40.500000000000000,78.900000000000006,80405,50326,0,0,64807,0,3256393,3970711,0,0
,2555,492555,665.139999999999986,8.600000000000000,0.800000000000000,80727,50164,0,0,79232,0,694251,40131,0,0
,2556,492556,171.069999999999993,1.000000000000000,449.199999999999989,115712,66818,3906,1608,67015,1617,115712,30014836,3906,722355
,2557,492557,275.779999999999973,11.199999999999999,6.000000000000000,111131,64898,3969,2336,100567,3596,1244664,389389,44457,14013
,2558,492558,51.579999999999998,10.400000000000000,0.000000000000000,107801,63644,4649,2730,107801,4649,1121128,0,48345,0
,2559,492559,106.379999999999995,0.000000000000000,593.200000000000045,103063,59539,5206,2242,59539,2242,0,35318828,0,1329967
,2560,492560,82.439999999999998,0.000000000000000,1037.700000000000045,105293,60893,9699,4457,60893,4457,0,63189077,0,4625118
,2561,492561,169.650000000000006,271.100000000000023,176.699999999999989,112361,65764,5736,3245,100018,5076,30461048,11620498,1555043,573412
,2562,492562,137.349999999999994,419.699999999999989,125.599999999999994,115708,67820,7914,3381,108910,7271,48562792,8518197,3321596,424693
,2563,492563,146.289999999999992,26.399999999999999,0.000000000000000,88785,54538,2778,1640,88785,2778,2343934,0,73335,0
,2564,492564,195.330000000000013,87.000000000000000,6.800000000000000,99730,59905,4121,2387,98081,4049,8676552,407356,358504,16231
,2565,492565,177.849999999999994,37.500000000000000,0.000000000000000,95830,58419,1804,1064,95830,1804,3593635,0,67638,0
,2566,492566,213.770000000000010,469.800000000000011,161.099999999999994,105146,62757,0,0,98391,0,49397712,10110113,0,0
,2567,492567,145.430000000000007,132.300000000000011,55.799999999999997,95417,58007,0,0,88344,0,12623723,3236805,0,0
,2568,492568,140.199999999999989,58.299999999999997,0.000000000000000,92048,56447,0,0,92048,0,5366420,0,0,0
,2569,492569,171.500000000000000,354.500000000000000,0.000000000000000,96879,58330,0,0,96879,0,34343569,0,0,0
,2570,492570,220.830000000000013,47.899999999999999,9.699999999999999,90807,55652,0,0,87267,0,4349650,539820,0,0
,2571,492571,187.189999999999998,34.799999999999997,523.799999999999955,90609,55357,0,0,59138,0,3153187,28995738,0,0
,2572,492572,144.620000000000005,4.800000000000000,0.000000000000000,89975,55287,0,0,89975,0,431882,0,0,0
,2573,492573,269.319999999999993,1.600000000000000,1338.400000000000091,81845,50703,0,0,50770,0,130951,67860826,0,0
,2574,492574,433.930000000000007,147.400000000000006,21.199999999999999,76947,49096,0,0,74895,0,11341959,1040845,0,0
,2575,492575,300.529999999999973,131.000000000000000,53.399999999999999,76058,47740,0,0,70850,0,9963606,2549294,0,0
,2576,492576,152.439999999999998,496.600000000000023,0.000000000000000,88436,54226,0,0,88436,0,43917401,0,0,0
,2577,492577,76.290000000000006,193.599999999999994,0.000000000000000,97040,58559,0,0,97040,0,18786938,0,0,0
,2578,492578,114.939999999999998,370.600000000000023,0.000000000000000,93530,56801,0,0,93530,0,34662083,0,0,0
,2579,492579,109.469999999999999,220.800000000000011,17.000000000000000,82322,50996,0,0,81043,0,18176649,866934,0,0
,2580,492580,223.949999999999989,664.500000000000000,238.000000000000000,99176,59462,0,0,92611,0,65902165,14151929,0,0
,2581,492581,118.650000000000006,97.900000000000006,36.799999999999997,88058,53568,0,0,82124,0,8620917,1971289,0,0
,2582,492582,150.580000000000013,393.899999999999977,0.000000000000000,92527,56273,0,0,92527,0,36446245,0,0,0
,2583,492583,129.770000000000010,415.699999999999989,75.400000000000006,86053,53123,0,0,83052,0,35772147,4005470,0,0
